NE Report
Save Time: 06/25/2025 00:01:06
User Name:admin


Total 15051 Records

"NE Name,""NE Type"",""NE IP Address"",""NE MAC Address"",""NE ID"",""Software Version"",""Physical Location"",""Create Time"",""Fiber/Cable Count"",""Running Status"",""Subnet"",""Subnet Path"",""Alias"",""Remarks"",""Patch Version List"",""Customized Column"",""LSR ID"",""Maintenance Status"",""Gateway Type"",""Gateway"",""Optical NE"",""Subrack Type"",""Conference Call"",""Orderwire Phone"",""NE Subtype"""
"K9213-RTN224691_SAMANLI_3,""OptiX RTN 905"",""10.209.49.2"",""10-51-72-33-64-D2"","" 13-691"",""V100R020C10SPC500"",""-"",""04/03/2015 15:48:45"",""1"",""Normal"",""K1640-RTN224679_KUCUKBALIKLI_TR"",""ROOT/RTN_SUBNET/GUNEY MARMARA(BURSA)/BURSA/KUCUKBALIKLI/K1640-RTN224679_KUCUKBALIKLI_TR"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""K1640-RTN224679_KUCUKBALIKLI_TR"",""-"",""Subrack Type I"",""-"",""-"",""OptiX RTN 905"""
"A4500-RTN4544881_EYNESIL_KEMERLI,""OptiX RTN 950"",""10.210.93.133"",""78-1D-BA-31-F7-70"","" 17-4881"",""V100R020C10SPC500"",""-"",""05/27/2014 14:25:03"",""4"",""Normal"",""TIREBOLU_KORLIMAN"",""ROOT/RTN_SUBNET/DOGU KARADENIZ(SAMSUN)/Giresun/TIREBOLU_KORLIMAN"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""A4496-RTN4544877_TIREBOLU_KORLIMAN"",""-"",""Subrack Type II"",""-"",""-"",""OptiX RTN 950"""
"K5805-RTN4523903_KABADUZ_ESENYURT,""OptiX RTN 905"",""10.210.97.153"",""AC-85-3D-94-2F-1E"","" 17-3903"",""V100R020C10SPC500"",""-"",""05/26/2014 22:03:25"",""1"",""Normal"",""ORDU_TOKI"",""ROOT/RTN_SUBNET/DOGU KARADENIZ(SAMSUN)/Ordu/ORDU_TOKI"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""B5806-RTN4523879_ORDU_TOKI"",""-"",""Subrack Type I"",""-"",""-"",""OptiX RTN 905"""
"6273-RTN3567938_PLEVNE_CADDESI,""OptiX RTN 950A"",""10.210.118.62"",""A4-DC-BE-0A-37-BB"","" 17-7938"",""V100R020C10SPC500"",""-"",""01/28/2016 16:15:56"",""7"",""Normal"",""Tokat_BSC"",""ROOT/RTN_SUBNET/DOGU KARADENIZ(SAMSUN)/Tokat/Tokat_BSC"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""Y6439-RTN3567877_TOKAT_DEDEMAN"",""-"",""Subrack Type II"",""-"",""-"",""OptiX RTN 950A"""
"K8824-RTN2523333_OMURCA_BIBLOS_EVLERI,""OptiX RTN 905"",""10.209.165.2"",""10-51-72-30-64-14"","" 14-3333"",""V100R020C10SPC500"",""-"",""04/03/2015 15:57:55"",""1"",""Normal"",""5553-RTN3404-GOKTEPE_STAR"",""ROOT/RTN_SUBNET/EGE(IZMIR)/MUGLA/5553-GOKTEPE_STAR/5553-RTN3404-GOKTEPE_STAR"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""B5631-RTN2523399_KAYABASI"",""-"",""Subrack Type I"",""-"",""-"",""OptiX RTN 905"""
"K4325-RTN3567909_TOKAT_GOP_UNIVERSITESI,""OptiX RTN 910"",""10.210.118.33"",""78-1D-BA-55-53-52"","" 17-7909"",""V100R006C10SPC610"",""-"",""02/02/2014 20:21:56"",""1"",""Normal"",""Tokat_BSC"",""ROOT/RTN_SUBNET/DOGU KARADENIZ(SAMSUN)/Tokat/Tokat_BSC"",""-"",""-"",""SPH611"",""-"",""-"",""active"",""Non-gateway"",""Y6439-RTN3567877_TOKAT_DEDEMAN"",""-"",""Subrack Type II"",""-"",""-"",""OptiX RTN 910"""
"3960-RTN224755_GULLUK_TT,""OptiX RTN 950"",""10.209.42.2"",""28-6E-D4-65-E2-98"","" 13-755"",""V100R020C10SPC500"",""-"",""02/14/2014 15:16:42"",""1"",""Normal"",""3909-RTN224366_VAKIFKOY-GNE"",""ROOT/RTN_SUBNET/GUNEY MARMARA(BURSA)/BURSA/VAKIFKOY/3909-RTN224366_VAKIFKOY-GNE"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""3909-RTN224366_VAKIFKOY"",""-"",""Subrack Type II"",""-"",""-"",""OptiX RTN 950"""
"A4001-RTN2862098_KALKIM_AKKOY,""OptiX RTN 905"",""10.209.60.2"",""AC-85-3D-B7-50-9C"","" 13-2098"",""V100R020C10SPC500"",""-"",""08/19/2016 13:39:52"",""1"",""Normal"",""A3989-RTN2862283_IDRISKORU"",""ROOT/RTN_SUBNET/GUNEY MARMARA(BURSA)/CANAKKALE/BIGA/A3989-RTN2862283_IDRISKORU"",""-"",""000"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""A3989-RTN2862283_IDRISKORU"",""-"",""Subrack Type I"",""-"",""-"",""OptiX RTN 905"""
"3024-RTN2483057_HAYDARLI,""OptiX RTN 950A"",""10.209.3.130"",""48-46-FB-A0-5E-B2"","" 15-3057"",""V100R020C10SPC500"",""-"",""08/19/2016 14:33:09"",""2"",""Normal"",""BURDUR"",""ROOT/RTN_SUBNET/AKDENIZ(ANTALYA)/BURDUR"",""-"",""-"",""SPH504"",""-"",""-"",""active"",""Non-gateway"",""D3377-RTN2483170_BURDUR_GOLU"",""-"",""Subrack Type II"",""-"",""-"",""OptiX RTN 950A"""
"T-T070296-RTN4545063_TEIAS_BATLAMA_D.286,""OptiX RTN 950A"",""10.210.94.61"",""E8-4D-D0-C7-D4-4D"","" 17-5063"",""V100R023C10SPC200"",""-"",""10/17/2017 13:14:08"",""2"",""Normal"",""BATLAMA_TT"",""ROOT/RTN_SUBNET/DOGU KARADENIZ(SAMSUN)/Giresun/BATLAMA_TT"",""-"",""-"",""-"",""-"",""-"",""active"",""Non-gateway"",""K7099-RTN4545003_BATLAMA_TT"",""-"",""Subrack Type II"",""-"",""-"",""OptiX RTN 950A"""
