Result Time,Granularity Period,Object Name,Reliability,"50332578","50332579","50332580","50332581","50332673","50332674","50332675","50332676","50332677","50332678","50332679","50332680","50332681","50332682","50332683","50332684","50332685","50332686","50332687","50332688","50332689","50332690","50332691","50332692","50332693","50332694","50332695","50332696","50332697","50332698","50332699","50332700","50332701","50332702","50332703","50332704","50332705","50332706","50332707","50332708","50332709","50332710","50332711","50332712","50332713","50332714","50332715","50332716","50332717","50332718","50332719","50332720","50332721","50332722","50332723","50332724","50332725","50332726","50332727","50332728","50332729","50332730","50332731","50332732","50332733","50332734","50332735","50332736","50332737","50332738","50332739","50332740","50332741","50332742","50332743","50332744","50332745","50332746","50332747","50332748","50332749","50332750","50332751","50332752","50332753","50332754","50332755","50332756","50332757","50332758","50332759","50332760","50332761","50332762","50332763","50332764","50332765","50332766","50332767","50332768","50332769","50332770","50342578","50342579","50342580","50342581"
,Minutes,,,None,None,None,None,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,None,None,None,None,None,None,None,None,None,None,None,ms,ms,ms,ms,ms,ms,s,s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,kbit/s,None,None,None,None,None,None,None,None,None,None,None,ms,ms,ms,ms,ms,ms,s,s,None,None,None,None
2025-06-24 03:00,60,"GLGN_GN002_ACAPULCO_CASINO/NodeBFunction:NodeB Function Name=NGN01_39502_GN002_ACAPULCO_CASINO",Reliable,0.327,0.056,0.129,3.175,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.6,1.4,12.8
2025-06-24 03:00,60,"SRGN_GN042_DIKMEN_LOJISTIK/NodeBFunction:NodeB Function Name=NGN01_39542_GN042_DIKMEN_LOJISTIK",Reliable,0.121,0.016,0.056,1.383,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.4,1.2,9.6
2025-06-24 03:00,60,"GLGN_GN049_DOME_OTEL/NodeBFunction:NodeB Function Name=NGN01_39549_GN049_DOME_OTEL",Reliable,0.263,0.012,0.092,2.826,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,0.4,1,10.6
2025-06-24 03:00,60,"GLGN_GN046_DOGANKOY_KOLORDU/NodeBFunction:NodeB Function Name=NGN01_39546_GN046_DOGANKOY_KOLORDU",Reliable,0.456,0.016,0.05,2.928,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,0.6,0.8,14.4
2025-06-24 03:00,60,"GLGN_GN033_CRATOS_PORT/NodeBFunction:NodeB Function Name=NGN01_39533_GN033_CRATOS_PORT",Reliable,0.188,0.009,0.062,1.399,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.4,1.2,7.8
2025-06-24 03:00,60,"GLGN_GN059_EURO_DEE_OTEL/NodeBFunction:NodeB Function Name=NGN01_39559_GN059_EURO_DEE_OTEL",Reliable,0.52,0.043,0.177,5.548,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.8,1.2,15.2
2025-06-24 03:00,60,"SRGN_GN032_CRATOS/NodeBFunction:NodeB Function Name=NGN01_39532_GN032_CRATOS",Reliable,0.065,0.001,0.083,0.406,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.2,1.2,4.2
2025-06-24 03:00,60,"SRGN_GN030_CIKLOS/NodeBFunction:NodeB Function Name=NGN01_39530_GN030_CIKLOS",Reliable,0.098,0.009,0.059,1.544,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.4,1,10.6
2025-06-24 03:00,60,"GLGN_GN074_GIRNE_TD_VIP2/NodeBFunction:NodeB Function Name=NGN01_39574_GN074_GIRNE_TD_VIP2",Reliable,0.236,0.009,0.075,5.472,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.4,1.4,11.8
2025-06-24 03:00,60,"GLGN_GN096_LAPTA_SAHIL/NodeBFunction:NodeB Function Name=NGN01_39596_GN096_LAPTA_SAHIL",Reliable,0.317,0.011,0.081,2.136,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.4,1.4,10.6
