Result Time,Granularity Period,Object Name,Reliability,"50331748","50331749","50331750","50331751","50331752","50331753","50361697"
,Minutes,,,None,None,None,None,None,None,None
2025-06-24 14:00,60,"GLLF_LF049_HAMITKOY_CADDE/ULoCell:NodeB Function Name=NLF01_39762_LF049_HAMITKOY_CADDE, Local Cell ID=46541, Cell Name=N/A",Reliable,0.358,0.329,0.358,0.287,412,131,
2025-06-24 14:00,60,"GLLF_LF015_CIHANGIR/ULoCell:NodeB Function Name=NLF01_39728_LF015_CIHANGIR, Local Cell ID=44123, Cell Name=N/A",Reliable,0.018,0.017,0.018,0.017,0,0,
2025-06-24 14:00,60,"GLLF_LF015_CIHANGIR/ULoCell:NodeB Function Name=NLF01_39728_LF015_CIHANGIR, Local Cell ID=44122, Cell Name=N/A",Reliable,0.786,0.733,0.786,0.679,123,78,
2025-06-24 14:00,60,"GLLF_LF015_CIHANGIR/ULoCell:NodeB Function Name=NLF01_39728_LF015_CIHANGIR, Local Cell ID=44121, Cell Name=N/A",Reliable,0.365,0.329,0.365,0.314,408,121,
2025-06-24 14:00,60,"GLLF_LF078_NAZ_APARTMANI/ULoCell:NodeB Function Name=NLF01_39791_LF078_NAZ_APARTMANI, Local Cell ID=46793, Cell Name=N/A",Reliable,0.917,0.824,0.917,0.678,0,0,
2025-06-24 14:00,60,"GLLF_LF078_NAZ_APARTMANI/ULoCell:NodeB Function Name=NLF01_39791_LF078_NAZ_APARTMANI, Local Cell ID=46792, Cell Name=N/A",Reliable,1.214,1.11,1.214,0.922,959,550,
2025-06-24 14:00,60,"GLLF_LF078_NAZ_APARTMANI/ULoCell:NodeB Function Name=NLF01_39791_LF078_NAZ_APARTMANI, Local Cell ID=46791, Cell Name=N/A",Reliable,0.558,0.5,0.558,0.389,13,0,
2025-06-24 14:00,60,"GLLF_LF057_KAROVA/ULoCell:NodeB Function Name=NLF01_39770_LF057_KAROVA, Local Cell ID=44153, Cell Name=N/A",Reliable,0.675,0.611,0.675,0.479,0,0,
2025-06-24 14:00,60,"GLLF_LF057_KAROVA/ULoCell:NodeB Function Name=NLF01_39770_LF057_KAROVA, Local Cell ID=44152, Cell Name=N/A",Reliable,0.393,0.364,0.393,0.346,39,36,
2025-06-24 14:00,60,"GLLF_LF057_KAROVA/ULoCell:NodeB Function Name=NLF01_39770_LF057_KAROVA, Local Cell ID=44151, Cell Name=N/A",Reliable,1.84,1.828,1.84,1.828,3296,3196,
