"id","flow_id","all_table_id","schema_name","table_name","column_name","object_key","object_key2","column_name_lookup","column_description","column_order_id","column_type","column_formula","column_length","model_type","is_column_gen","column_gen_formula","is_column_agg","column_agg_formula","need_refresh","is_generated","is_failed","is_active","created_time","created_by","updated_time","updated_by","extra_info","flow_code"
141,111,8,pm,t00111n000005,pod_id_omc_agent_id,etlApp.measObjLdn_Pod Id:OMCAgentId,,,,11,VARCHAR,,100,MEASOBJLDN,false,,false,,false,true,false,true,2026-02-06 14:28:08.554 +0300,,2026-02-06 14:29:22.775 +0300,,,
142,111,8,pm,t00111n000005,pod_id_pod_id,etlApp.measObjLdn_Pod Id:Pod Id,,,,12,VARCHAR,,100,MEASOBJLDN,false,,false,,false,true,false,true,2026-02-06 14:28:08.554 +0300,,2026-02-06 14:29:22.775 +0300,,,
143,111,8,pm,t00111n000005,t00111n000005c0013,"1929379843",,,,13,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-06 14:28:08.554 +0300,,2026-02-06 14:29:22.775 +0300,,,
144,111,8,pm,t00111n000005,t00111n000005c0014,"1929379850",,,,14,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-06 14:28:08.554 +0300,,2026-02-06 14:29:22.775 +0300,,,
246,158,15,pm,t00158n000002,failed_req_count,FAILED_REQ_COUNT,,,,5,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-27 12:59:34.704 +0300,,2026-02-27 13:04:21.947 +0300,,,
251,158,15,pm,t00158n000002,successful_req_count,SUCCESSFUL_REQ_COUNT,,,,10,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-27 12:59:34.704 +0300,,2026-02-27 13:04:21.947 +0300,,,
427,158,25,pm,t00158n000012,service_zone_matched_resp_count,SERVICE_ZONE_MATCHED_RESP_COUNT,,,,18,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-27 13:57:36.714 +0300,,2026-02-27 14:51:49.470 +0300,,,
398,158,24,pm,t00158n000011,resp_count_4g,"4G_RESP_COUNT",,,,9,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-27 13:53:06.954 +0300,,2026-02-27 14:51:49.331 +0300,,,
397,158,24,pm,t00158n000011,req_count_4g,"4G_REQ_COUNT",,,,8,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-27 13:53:06.954 +0300,,2026-02-27 14:51:49.331 +0300,,,
149,162,9,pm,t00162n000001,description,DESCRIPTION,,,,5,VARCHAR,,250,VARIABLE,false,,false,,false,true,false,true,2026-02-19 13:44:10.072 +0300,,2026-02-19 14:49:29.190 +0300,,,
151,162,9,pm,t00162n000001,ip_addr,IP_ADDR,,,,7,VARCHAR,,250,VARIABLE,false,,false,,false,true,false,true,2026-02-19 13:44:10.074 +0300,,2026-02-19 14:49:29.190 +0300,,,
154,162,9,pm,t00162n000001,subnet_mask,SUBNET_MASK,,,,10,VARCHAR,,250,VARIABLE,false,,false,,false,true,false,true,2026-02-19 13:44:10.074 +0300,,2026-02-19 14:49:29.190 +0300,,,
674,161,38,pm,t00161n000001,timegroup,TimeGroup,,,,21,VARCHAR,,,VARIABLE,false,,false,,false,false,true,true,2026-02-28 14:42:31.703 +0300,,2026-02-28 14:44:54.160 +0300,,,
279,158,18,pm,t00158n000005,file_id,etlApp.info_fileId,,,,2,VARCHAR,,100,INFO,false,,false,,false,true,false,true,2026-02-27 13:36:22.424 +0300,,2026-02-27 14:39:38.677 +0300,,,
331,158,20,pm,t00158n000007,zone_default_resp_count,ZONE_DEFAULT_RESP_COUNT,,,,21,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-27 13:42:35.528 +0300,,2026-02-27 14:39:38.975 +0300,,,
330,158,20,pm,t00158n000007,vowifi_req_count,VOWIFI_REQ_COUNT,,,,20,NUMERIC,,,VARIABLE,false,,false,,false,true,false,true,2026-02-27 13:42:35.528 +0300,,2026-02-27 14:39:38.975 +0300,,,
167,121,10,pm,t00121n000001,t00121n000001c0013,BSPAGBLKSRES,,,,13,VARCHAR,,250,VARIABLE,false,,false,,false,true,false,true,2026-02-21 01:37:35.773 +0300,,2026-02-21 01:54:12.298 +0300,,,
