"id","unit_id","branch_id","flow_id","node_id","node_parent_id","node_code","node_name","node_name_lookup","node_ip","node_port","node_version","node_type","sub_network","file_format_version","vendor_name","dc","file_type","node_manager","node_manager_name","source_ip","source_connection_id","source_path","source_file_format","source_time_period","source_starts_with","source_contains","source_ends_with","source_last_modified_time","primary_source_ip","primary_source_connection_id","primary_source_path","primary_source_file_format","primary_source_time_period","primary_source_starts_with","primary_source_contains","primary_source_ends_with","primary_source_last_modified_time","secondary_source_ip","secondary_source_connection_id","secondary_source_path","secondary_source_file_format","secondary_source_time_period","secondary_source_starts_with","secondary_source_contains","secondary_source_ends_with","secondary_source_last_modified_time","is_active","created_time","created_by","updated_time","updated_by","extra_info"
588,111,146,165,60,,ORTAISBCLEFH02,ORTAISBCLEFH02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
589,111,146,165,61,,ORTAUNCLEFH02,ORTAUNCLEFH02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
590,111,146,165,62,,ORTAVMSCLEFH02,ORTAVMSCLEFH02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
591,111,146,165,63,,PCFBELEFH01,PCFBELEFH01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
592,111,146,165,64,,PCFBELEFH02,PCFBELEFH02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
593,111,146,165,65,,PCFFELEFH01,PCFFELEFH01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
594,111,146,165,66,,PCFFELEFH02,PCFFELEFH02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
595,111,146,165,67,,UDMBELEFH01,UDMBELEFH01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
596,111,146,165,68,,UDMBELEFH02,UDMBELEFH02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
597,111,146,165,69,,UDMFELEFH01,UDMFELEFH01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
598,111,146,165,70,,UDMFELEFH02,UDMFELEFH02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
599,111,146,165,71,,USCLEFH01_CloudDBUSC,USCLEFH01_CloudDBUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
600,111,146,165,72,,USCLEFH01_USC,USCLEFH01_USC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
601,111,146,165,73,,USCLEFH02_CloudDBUSC,USCLEFH02_CloudDBUSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
602,111,146,165,74,,USCLEFH02_USC,USCLEFH02_USC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
603,111,146,165,75,,VMSCLEFH01,VMSCLEFH01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
604,111,146,165,76,,VMSCLEFH02,VMSCLEFH02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
606,111,111,111,79,,EPDGPSKH01,EPDGPSKH01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
607,111,111,111,80,,EPDGTZLH01,EPDGTZLH01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
608,111,111,111,81,,LMDNSPSKH01,LMDNSPSKH01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
609,111,111,111,82,,LMDNSTZLH01,LMDNSTZLH01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
610,111,111,111,83,,RMDNSPSKH01,RMDNSPSKH01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
611,111,111,111,84,,RMDNSTZLH01,RMDNSTZLH01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
612,118,114,121,19,,BTZLH11,BTZLH11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
142,118,114,120,20,,BDSAH02,BDSAH02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
144,118,114,120,22,,BPSKH06,BPSKH06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
320,137,141,159,1,,degappesy1,degappesy1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
321,137,141,159,2,,degappesy2,degappesy2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
322,137,141,159,3,,degappgzm1,degappgzm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
323,137,141,159,4,,degappgzm2,degappgzm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
324,138,142,160,1,,degappesy1,degappesy1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
325,138,142,160,2,,degappesy2,degappesy2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
326,138,142,160,3,,degappgzm1,degappgzm1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
327,138,142,160,4,,degappgzm2,degappgzm2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
328,122,118,132,1,,NR34_0C818_ITUSTAD_5GTest,NR34_0C818_ITUSTAD_5GTest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
329,122,118,132,2,,NR34_A1190_CAKMAK_J_5GTest_ODB,NR34_A1190_CAKMAK_J_5GTest_ODB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
330,122,118,132,3,,NR34_Y1796_IST5GG_GIB1400_3HAVALIMANI_SITE_1,NR34_Y1796_IST5GG_GIB1400_3HAVALIMANI_SITE_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
331,122,118,132,4,,NR34_Y1803_IST5GQG_GIB1401_3HAVALIMANI_SITE_2,NR34_Y1803_IST5GQG_GIB1401_3HAVALIMANI_SITE_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,,,,,
